at,userName,response,score,label
2023-07-23 09:14:12,Dheni R,"System tidak jelas, pesanan dibayar langsung dibatalkan system. Penarikan saldo lebih dari 2 x 24 jam, kembali ke jaman batu",1,Negatif
2023-07-23 06:09:26,Miftahul Hasani,Mau beli pulsa atau isi saldo gopay atau shoppepay pakai goplaylater cicil aja gak bisaaa.....!! Terus guna e punya goplaylater apa ..??? Kalo sudah dapat goplaylater itu bisa di gunakan apa pun di aplikasi Tokopedia.. gak perlu di beda-bedain... Jadi minta tolong diperbaiki sistem & aturan nya... Jangan di bikin ruwet sistem nya biar custamer tidak kecewa.... TOLONG DIPERHATIKAN YA .!!!!,1,Positif
2023-07-23 03:23:56,Shofiul Anam,Aplikasi yang mempermudah melengkapi kebutuhan sehari hari dan mempermudah kewajiban pembayaran kita dalam satu aplikasi dan banyak promo potongan ya,5,Positif
2023-07-23 03:22:17,benny bagy,"Tokopedia bukannya makin maju, malah kalah sama online shoping yang lain. Toped TELAT. Jasa Aplikasi yg dipikirin dan dinaikin. Gratis ongkir dan flash sale online shop yang lain sudah lebih menarik. Malah terkesan banyak barang yang harganya lebih tinggi dari online shop yg lain. Ragam barang flase sale pun lebih banyak di shoping online yg lain. Gak Toped gak Gojek sama, yg dipikirin hanya Jasa Aplikasi yg dinaikin.",3,Positif
2023-07-23 00:13:02,Dadang Irawan,"Pertama dapan info Cashback 6000 ternyata masuk 2995. Brsan info Cashback 2500 tp gak masuk. Ya sdh lah maaf saya uninstall udah kena biaya penanganan atau apalah, saya pindah aplikasi sebelah",1,Negatif
2023-07-22 23:53:13,M Agus Tri Asmoro,"Aplikasi ini sangat usang. Live chat saja menggunakan penjawab otomatis. Beli barang tidak bisa memilih jasa ekspedisi. Tampilannya jadul. Kalau dibandingkan dengan shopee tentu kalah sangat jauh, shopee lebih menarik. Maka dari itu tokopedia cenderung sepi sedangkan di shopee ramai dan lengkap. Mungkin sdm pengembangnya masih gaptek.",1,Positif
2023-07-22 17:46:32,Saskia Maharani,"heran barang udh dibayar tbtb dibatalkan sistem. saldo refund gabisa diambil karena kurang dr 50.000. voucher promo yg dipakai juga ilang. mau hubungin akun ke gopay yg beda nomor pas ganti nomor hp saldo tokped dibekukan 1×24 jam, udah seharian nunggu, nomor masih blm keganti juga, saldo tokped jd gabisa dipake. laporan ke customer service gaada tindak lanjut, bilang di cek di cek doang. mana pembelian pertama lg, jd kapok dah pake pake tokped",1,Negatif
2023-07-22 13:03:44,Raden Hamzah,"Dahlah apk gaje cuman pakai diskon doang buat belanja produk tapi malah dibatalkan sistem tra udh berkali-kali begitu trs, katanya dari CS Tokopedia kupon promo hanya digunakan 1 pengguna setiap 1 aku dlm hp, sedang kakak & mama saya yg alamat rumahnya sama tentunya jd gak bisa pakai kupon diskon jd yg bisa hanya saya saja yg bisa, padahal di syarat nya tertulis kalau pakai kupon promo bisa dipakai semua pengguna asalkan pengguna tersebut hanya punya 1 akun di hp emosi parah pokoknya😠😠😠😠😠😠",1,Positif
2023-07-22 09:46:44,Gibran Ardiansyah,"Cara login nya gimana selain make KTP atau apalah itu, saya masih pelajar kls 9, padahal mau nyoba belanja di tokped tapi ga bisa login Karna harus make KTP buat login nya 😁 jadi gimana om",4,Positif
2023-07-22 08:13:26,Al99 Hakam,Sdh 2 kali cashback yg harusnya saya terima.tapi tidak keluar saat transaksi sdh selesai.saya sdh komplain lewat CFS/tokopedia care tapi responnya lambat dan jawabannya gak spesifik/tidak bisa jawab kesalahan yg saya lakukan.saya rasa ini adalah PENIPUAN.,1,Positif
