at,userName,response,score,label
2023-07-17 19:17:46,Tips-Kesehatan,"Voucher promo ga bisa di gabung sama gratis ongkir, biaya aplikasi lebih mahal.",2,Negatif
2023-07-16 20:29:56,Ayub Budi Anggara,"Dikasih promo diskon potongan harga, -> di pakai dan sudah di lakukan pembayaran, -> tidak bisa di gunakan dikarenakan kecurangan, memang dana sudah di kembalikan, terus maksudnya apa ngasih promo diskon? Mending gak perlu kalau gak bisa di gunakan",1,Negatif
2023-07-16 20:20:21,Alannisa Nur Khasanah,"Tokopedia yang baik hati, alangkah lebih baiknya sistem diperbaiki lagi mengenai vocer diskon belanja ataupun vocer yg lain, dikarenakan berdasarkan pengalaman saya yang kurang menyenangkan dimana dilakukan pembatalan oleh pihak tokopedia karena ""diduga melanggar"". Ya gimana alamat gak samaa, lha wong saya bukan anak tunggal, saya punya banyak saudara kandung, karena alamat yg sama jadi dibatalin... wuaa sedih si... tpi yauda lah... nanti saya install lgi kalo sistem nya udh diperbaiki. Trims",1,Negatif
2023-07-16 18:23:42,Ita Sachari,"Untuk tokopedia, tlg donk kerjasama pengiriman dgn anteraja di hapus. Cuma krn jasa pengiriman yg selalu lama, pengiriman sy jg terhambat Padahal udah order dr seminggu dgn seller yg sama Sebagai pihak customer jg percuma memberikan saran ke seller utk off jasa pengiriman anter aja hanya IYA saja, jd saya berharap pihak tokopedia mendengarkan masukan dr customer, jgn krn hanya 1 jasa pengiriman bermasalah, customer beralih ke mp yg lain",3,Netral
2023-07-16 17:43:33,Resa Permana,Sebenarnya aplikasi nya bagus .. cuman saya kesel sama seller nya .. saya sudah bayar pesanan .. tapi tidak d konfirmasi pdhl dia selalu aktif .. sangat mengecewakan .. dah lah nanti kalo sudah batal otomatis hapus aja aplikasi ini..mending beli di aplikasi sebelah tidak harus konfirmasi2 ..!! Ribet amat pdhl sudah bayar juga..,1,Negatif
2023-07-16 17:30:47,Lily Susanti,Baru buat akun dan langsung belanja namun transaksi langsung dibatalkan otomatis dari pihak Tokopedia padahal akun sudah verifikasi email berhasil dan pakai nomor yang tidak pernah terdaftar di Tokopedia,1,Negatif
2023-07-16 16:49:51,mas sodik,Kenapa min. kalo mau ngasih ulasan setelah barang selesai.untuk upload foto aja lama sekali. Apalagi video..di upgrade aja min ...........biar lebih sempurna,4,Netral
2023-07-16 15:56:05,Munif Azmi,"Sorry ya beberapa kali saya beli pulsa pakai promo diskon tidak bisa ,dana di kembalikan terus.so pasti mengecewakan sekali.",2,Negatif
2023-07-16 14:17:16,Asnawi Bobans,"Dapat voucher dipakai order malah dibatalkan sistem dengan alasan kesamaan pembayaran dengan akun lain yg gak dikenal. Gak masuk akal sekali sistemnya, lapor cs juga percuma. Banyak yg makan gaji buta cs nya. Lapor malah dibiarin jawab 10 menit dikira orang lain selonggar itu apa. Payah",1,Negatif
2023-07-16 14:04:07,LEXON Ryzkii,"nyampenya lama banget anjirr.. jauh lebih lama dari estimasinya..mendingan beli di shopee.. ongkir murah,.nyampenya lebih cepat dari estimasi..",1,Negatif
2023-07-16 10:41:16,Dewi Kusumawati,"Mending belanja di e-commerce lain. Ngasih voucher diskon gak niat, giliran dipakai malah dibatalin sistem. Tiap belanja harus bayar biaya layanan 1k dan biaya jasa aplikasi 2k.",1,Negatif
2023-07-16 10:25:04,Wadis Wadis,Tolong Pihak Tokopedia kalo bisa tiap pihak ke tiga/Ekspedisi di kasih ruang tersendiri. Untuk memberikan poin2 tertentu kepada pihak ekspedisi selaku kurir. Spt contoh memberikan ruang untuk berdiskusi/chat langsung jika ada permasalah dalam pengiriman. Dan memberikan penilaian/rating dan ulasan usai pengiriman itu selesai. Agar menjadi pertimbangan juga kedepan nya bagi para pengguna tokped yg hendak memilih kurir. Saya rasa dgn cara spt ini kinerjanya ekspedisi pasti akan lebih baik.,4,Netral
2023-07-16 08:22:33,heri erwandi,"Sekarang ada biaya jasa aplikasi dan biaya transaksi. Jarang ada cashback, sekalinya dpt kupon coba dipakai belanja dibatalkan sistem katanya melanggar. Ah.. sudahlah...!! Mending gak usah sebar kupon zonk.",1,Negatif
2023-07-16 07:37:30,roni hirawan,"4x saya kasih ulasan saya ke B5, tapi kali ini saya benar"" kecewa dengan kualitas toko anda. Pengiriman sering bermasalah untuk salah satu jasa kurirnya barang stuck berhari"" di tempat sortir sampai melewati batas kiriman tapi saya sbg konsumen yg harus menanggung beban kerugian untuk menunggu lebih lama lagi. Saya heran selevel toko anda tidak becus memilih jasa kurir yg jelas"" merugikan konsumen dan penyelesaiannya juga butuh waktu lebih lama lagi yg makin membuat konsumen lebih rugi.",1,Negatif
2023-07-16 00:45:05,indradityazka channel,Payah banget giliran mau pembayaran lewat gopay lama banget sampai berulang-ulang masih tetap sama Tolong di perbaiki lagi system nya biar kita para driver bangga dengen tokped,1,Negatif
2023-07-15 20:37:21,Puput Pujianto,"Sebenarnya udah bagus. Cuma opsi pembayaran aja kurang banyak. Kayak belum ada pembayaran via dana. Padahal pengguna dana itu lumayan banyak, semoga di beri tambahan opsi lagi untuk pembayaran",3,Netral
2023-07-15 19:36:40,Mando Garlic,"Ini untuk kedua kali nya pengiriman seenak otak nya main di tunda lagi di hari akhir estimasi pengiriman.. keterangan tiba tgl 15 Juli, hari ini dapat keterangan di tunda estimasi smpai 24 Juli... Kacauuuu!!! Aplikasi lain cepat pengiriman..",1,Negatif
2023-07-15 18:52:55,Mif akhuls,"Aplikasi lucu masak mau ganti metode pembayaran lama,harus nunggu beberapa menit,pdhl sinyal bagus apanya yng salahh???",3,Netral
