at,userName,content,score,Label
2023-07-23 09:14:12,Dheni R,"System tidak jelas, pesanan dibayar langsung dibatalkan system. Penarikan saldo lebih dari 2 x 24 jam, kembali ke jaman batu",1,Negatif
2023-07-23 06:09:26,Miftahul Hasani,Mau beli pulsa atau isi saldo gopay atau shoppepay pakai goplaylater cicil aja gak bisaaa.....!! Terus guna e punya goplaylater apa ..??? Kalo sudah dapat goplaylater itu bisa di gunakan apa pun di aplikasi Tokopedia.. gak perlu di beda-bedain... Jadi minta tolong diperbaiki sistem & aturan nya... Jangan di bikin ruwet sistem nya biar custamer tidak kecewa.... TOLONG DIPERHATIKAN YA .!!!!,1,Negatif
2023-07-23 03:23:56,Shofiul Anam,Aplikasi yang mempermudah melengkapi kebutuhan sehari hari dan mempermudah kewajiban pembayaran kita dalam satu aplikasi dan banyak promo potongan ya,5,Positif
2023-07-23 03:22:17,benny bagy,"Tokopedia bukannya makin maju, malah kalah sama online shoping yang lain. Toped TELAT. Jasa Aplikasi yg dipikirin dan dinaikin. Gratis ongkir dan flash sale online shop yang lain sudah lebih menarik. Malah terkesan banyak barang yang harganya lebih tinggi dari online shop yg lain. Ragam barang flase sale pun lebih banyak di shoping online yg lain. Gak Toped gak Gojek sama, yg dipikirin hanya Jasa Aplikasi yg dinaikin.",3,Positif
2023-07-23 00:13:02,Dadang Irawan,"Pertama dapan info Cashback 6000 ternyata masuk 2995. Brsan info Cashback 2500 tp gak masuk. Ya sdh lah maaf saya uninstall udah kena biaya penanganan atau apalah, saya pindah aplikasi sebelah",1,Negatif
2023-07-22 23:53:13,M Agus Tri Asmoro,"Aplikasi ini sangat usang. Live chat saja menggunakan penjawab otomatis. Beli barang tidak bisa memilih jasa ekspedisi. Tampilannya jadul. Kalau dibandingkan dengan shopee tentu kalah sangat jauh, shopee lebih menarik. Maka dari itu tokopedia cenderung sepi sedangkan di shopee ramai dan lengkap. Mungkin sdm pengembangnya masih gaptek.",1,Negatif
2023-07-22 17:46:32,Saskia Maharani,"heran barang udh dibayar tbtb dibatalkan sistem. saldo refund gabisa diambil karena kurang dr 50.000. voucher promo yg dipakai juga ilang. mau hubungin akun ke gopay yg beda nomor pas ganti nomor hp saldo tokped dibekukan 1×24 jam, udah seharian nunggu, nomor masih blm keganti juga, saldo tokped jd gabisa dipake. laporan ke customer service gaada tindak lanjut, bilang di cek di cek doang. mana pembelian pertama lg, jd kapok dah pake pake tokped",1,Negatif
2023-07-22 13:03:44,Raden Hamzah,"Dahlah apk gaje cuman pakai diskon doang buat belanja produk tapi malah dibatalkan sistem tra udh berkali-kali begitu trs, katanya dari CS Tokopedia kupon promo hanya digunakan 1 pengguna setiap 1 aku dlm hp, sedang kakak & mama saya yg alamat rumahnya sama tentunya jd gak bisa pakai kupon diskon jd yg bisa hanya saya saja yg bisa, padahal di syarat nya tertulis kalau pakai kupon promo bisa dipakai semua pengguna asalkan pengguna tersebut hanya punya 1 akun di hp emosi parah pokoknya😠😠😠😠😠😠",1,Negatif
2023-07-22 09:46:44,Gibran Ardiansyah,"Cara login nya gimana selain make KTP atau apalah itu, saya masih pelajar kls 9, padahal mau nyoba belanja di tokped tapi ga bisa login Karna harus make KTP buat login nya 😁 jadi gimana om",4,Positif
2023-07-22 08:13:26,Al99 Hakam,Sdh 2 kali cashback yg harusnya saya terima.tapi tidak keluar saat transaksi sdh selesai.saya sdh komplain lewat CFS/tokopedia care tapi responnya lambat dan jawabannya gak spesifik/tidak bisa jawab kesalahan yg saya lakukan.saya rasa ini adalah PENIPUAN.,1,Negatif
2023-07-22 07:26:59,AK 47,Potongan penjualannya mahal. Ya kalai barang 300rb potongan gan 15rb + potongan gratis ongkir 10rb. Hampir gk ad labanya ane jualan dsini. Untuk masih ad bukalapak & shope. Biarpun kerjasama sama kurir tp beban gratis ongkir gk sepenuhnya d bebankan ke seller. Kalau tokopedia beban ie seller besar banget repot untuk penjual2 kecill.,1,Negatif
2023-07-22 06:40:11,Putra,"Wow diskonnya bohong, pas check out menggunakan kupon eh dibatalkan sistem padahal beli headset doang. Kuponnya ga balik lagi dan hangus haduh. Mana harus milih mau gratis ongkir atau cashback/diskon. Ada biaya aplikasi dan layanan, banyak banget ya. Congrats tokopedia, you just make everyone go away easly.",1,Negatif
2023-07-22 05:04:23,Ahmad Muhaimin,"Pake toped buat belanja jarang,kalau bukan karena kepepet contohnya beli vape/liquid atau sparepart nya yang tidak tersedia di e-commerce lain Alasannya karena kalau pakai voucher gratis ongkir gak bisa pilih kurir,jadi toped pilih kurir yang bisa dibilang murahan,yang hasilnya lambat dan tentunya kapok",1,Negatif
2023-07-22 03:23:54,Melani Ayu Ariyaza,"Kurir rekomendasi tokopedia tolonglah di seleksi bener"". Masa iya kurir rekomendasi harusnya cepet dong sampenya daripada kurir reguler. Pake kurir reguler aja biasa 3-4 hari sampe ini malah pake kurir rekomendasi hampir 10 hari ga sampe"" mana barang urgent butuh banget mau dipake keperluan kerja.",1,Negatif
2023-07-22 03:06:45,ita lanlan,"wah gila ni apk diskriminasi, aku dapat vocer 35rb pas tak pakai beli di batalkan sistem dan gak di kembalikan dong diskon 35rb nya, dan ongkir 1 kota bikin pusing masa ongkir di 1 kota yang sama 16.900 dong kalau mau gratis ongkir vocer diskon gak bisa di pakai, di toko biru 1 kota cuma 6.500 di toko oren 7.000 dan selalu ada gratis ongkir dan selalu kasih cashback contoh toko biru belanja kosmetik 10 item harga 55rb aku cuma bayar 18rb, toko pedia apa kasih diskon 35rb eh di batalin sistem",1,Negatif
2023-07-22 02:47:34,Alvin Adama Putra,"Pengguna lama yang tidak akan menggunakan aplikasi tokped kembali, sistem keamanan rendah, mudah dibobol baru banget kebobolan, dibilang transaksi real time atau resmi, csnya kurang kompeten dalam menangani masalah. Jelek deh mending pindah ke toko oren aja.",1,Negatif
2023-07-22 02:32:45,Alis Anjay,Makin lama makin mahal ya bunganya :) Apalagi yang paylater. Niatnya pengen enak beli onlen disini tapi setelah dipikir lagi mending ke toko offline aja :) Terakhir belanja bulan Mei karena disini ada layanan kurir gosend. Butuh mepet-mepet. Selain itu di paylater ga bisa bayar lunas full. Mesti perbulan sekian. Ga kek aplikasi sebelah bisa dicicil sekalian gitu. Aku sih maunya langsung lunas pas ada duitnya 😂 ga mau pake tokped lagi wkwkw mahal bet. Udah sih gitu aja,1,Negatif
2023-07-22 02:15:08,Abidzar Channel,Iklan di aplikasinya bikin sakit mata slidenya sangat cepat.... coba diperbaiki yg nyaman dimata min,2,Netral
2023-07-22 01:41:20,davlog arts,"Barang tidak dapat, uang pun tidak direfund, chat tokopedia care pun ga ada solusi malah di diemin, sudah lama pakai tokped baru sekarang gw tau bobrok nya, mungkin sudah saatnya pindah kesebelah",1,Negatif
2023-07-22 01:11:37,Wahyuni Wahyuni,"Entahlah, baru pertama belanja di tokopedia udah di bikin kecewa, aku kira bakalan lebih bagus dari toko sebelah, eh ternyata malah lebih mengecewakan",4,Positif
2023-07-22 00:51:50,Calon Tukang kayu,Sekarang kok berat ya aplikasinya ?ga bisa sat set kayak dulu padahal koneksi lancar.,3,Positif
2023-07-21 15:14:11,sucipto el faries,"Dah lama berlangganan di Toped dan baik² aja, tapi baru² ini ada paketku yg hilang atau tidak sampai dengan nominal yg lumayan, tak satupun ada yg mau bertanggung jawab, baik dari pihak penjual, expedisi maupun Toped.",1,Negatif
2023-07-21 15:01:15,Gibran Shariati,Tolong dong tokopedia diperbaiki ongkir nya jangan terlalu mahal mahal masa iya saya beli ikan yang harga 20 rb sama ongkir jadi 40 rb itu kemahalan di ongkir dari pada harga barangnya tolong ongkir nya di murahin kayak toko sebelah dan ada in system per cod an sama voucher gratis ongkir nya saya tunggu ya perbaikan nya 😊,2,Netral
2023-07-21 13:18:21,Vina Swandari,"Pengajuan komplain di aplikasi, selalu keluar lagi, tidak dapat di pilih saat proses akhir, aplikasi langsung tertutup sendiri",1,Negatif
2023-07-21 11:37:55,Adi Abiyasa,Belum pernah transaksi tapi ga bisa pake voucher pengguna baru gara gara pembayaran loading mulu tiba tiba keluar pas mau check out lgi ga bisa,1,Negatif
2023-07-21 10:55:21,M farhannul Hakim,"Tolong tokopedia hilangkan aja expedisi anteraja,sudah 2 hari paket tidak terkirim padahal saya pilih yang NextDay supaya cepat tapi sampai sekarang belum ada kejelasan,masih stuck di hub awal",1,Negatif
2023-07-21 10:22:20,naa waridatk,"Tidak rekomendasi banget, pake voucher aja ribet. Udah bayar d Indomart pake voucher, tau² pesanan d cancel karena indikasi penyalahgunaan voucher. BUANG WAKTU. FIX BAKALAN PAKE SHOPEE ONLY.",1,Negatif
2023-07-21 08:30:32,Yuko Gunawan,Terpaksa saya turunkan jadi bintang 1 .. Saya pengguna setia Tokopedia.. Saya nggak pakai marketplace lainnya.. Tapi sayang banget.. Aplikasinya sekarang LEMOT banget.. Jadi bikin banyak wkt yg terbuang. Tolong ditingkatkan dong.. Kalau dah normal lagi saya kasih bintang 5 lagi..,1,Negatif
2023-07-21 08:06:00,Setyo Puruhito,"Pendaftaran paylater gak usah disebut menggunakan E-KTP, kalau masih harus foto menggunakan KTP fisik, kan ada aplikasi identitas kependudukan yang dikeluarkan oleh kementerian kependudukan, tinggal mengajukan ke kementerian supaya langsung terhubung dengan aplikasi Tokopedia, atau bisa koneksi dengan data Bank, karena repot harus mengurus KTP lagi yang sudah mulai tak terbaca",4,Positif
2023-07-21 07:25:20,ervan harris kristanto,Semakin lama semakin banyak biaya. Bagaimana user yang aktif menggunakan tokped untuk belanja bisa nyaman klo harga beli ketambahan biaya ini itu. Sampai dibuat komikstrip yang satir tentang tokped. Tobat tobat biaya tambahannya.,1,Negatif
2023-07-21 03:39:11,Fajri Zein,Transaksi saya selalu di batalkan.. alasanya kesamaan ini itu.. Percuma punya kupon diskon.. kalo ujung2nya ga bisa dipake.. jgn diadain sekalian.. sy sudah numpang2 transfer.. kesamaan data pembayaran apalah,1,Negatif
2023-07-21 02:49:50,Haqqi Azizi,Pelayanan kurir dari Tokopedia sangat buruk dari anteraja oke tapi setelah di tangani JNE sangat buruk Ketika komplain juga harus menunggu 4 hari tanpa ada info apapun dari Tokopedia atau kurir uang yang di belanjakan tidak bisa di gunakan untuk membeli barang kembali juga kehilangan kupon promo Sangat buruk,1,Negatif
2023-07-21 02:42:39,HERY -,"Saya membeli lem korea 2 pcs ditokopedia, tapi pas datang isinya kosong. Hanya cangkangnya yg dikirim, akhirnya saya return, tapi pas pengembalian dana..hanya setengahnya saja yg masuk....tokopedia maupun seller sangat merugikan..saya harus menghapus aplikasi ini dari perangkat saya...👎👎👎",1,Negatif
2023-07-21 01:43:12,Ari Pambudi,"Aplikasi mantap 👍👍 Tapi versi terbaru sekarang buka feed boros data. Padahal video sudah dimatikan lewat opsi / pengaturan aplikasinya sendiri. Walau sudah scroll ke bawah, data tetap mengalir. Tolong diperbaiki.",5,Positif
2023-07-20 23:23:53,Surya Afandhi,"Layanan bagus. Hanya saja kupon ga bisa dipakai kalau pakai bebas ongkir, padahal yang diluar pulau Jawa pasti membutuhkan promo tersebut (diskon + gratis ongkir).",3,Positif
2023-07-20 20:11:31,Arviyan pratama,"Tolong sistem tukar tambah d perbaiki, soalnya perizinan akses sudah d berikan, akan tetapi nolak terus.",2,Netral
2023-07-20 19:33:36,Pungky Azis Akbar Riansyah,"Promo isinya cuman PHP, giliran sudah dibayar atau checkout tiba2 dibatalkan oleh sistem dengan alasan identitas akun mirip dengan akun milik orang lain, jelas gak masuk akal alasannya. Lucunya lagi sesudah dikomplain malah penanganan termasuk lama untuk masalah seperti yg saya alami. Daripada PHP pengguna mendingan tidak usah mengadakan iming2 promo potongan atau diskon bos. Sistem buruk payah",1,Negatif
2023-07-20 15:59:13,Suku Chaniago,"Makin ke sini tokped makin ga asik. Dulu promonya asli. Dulu belanja di official store atau belanja dengan jumlah minimum tertentu dapat Gratis ongkir Rp. 0. Belum lagi kupon yang betul bisa digunakan. Sekarang mah iklan nya ajaaaa Rp. 0. Kupon memang dapat tapi gak bisa digunakan. Beli token kalau gagal pengisian lama prosesnya, dan tidak ada pengembalian dana",1,Negatif
